run_id,run_name,state,created_at,infrastructure,host,os,gpu,gpu_count,gpu_arch,gpu_vram_gb,gpu_cuda_cores,gpu_power_limit_watts,avg_gpu_power_watts,avg_gpu_utilization_pct,avg_gpu_memory_pct,avg_gpu_temp_c,cpu_physical_cores,cpu_logical_cores,ram_gb,runtime_seconds,runtime_hours,energy_kwh,cuda_version,group,tags
2rkw5omh,Mxode-SmolLM-Chinese-180M,finished,2024-11-11T23:28:40Z,on-prem,unicorn,Linux-5.4.0-196-generic-x86_64-with-glibc2.31,NVIDIA RTX A5000,1,Ampere,24.0,8192,230.0,223.5,98.5,41.2,82.4,16,32,62.8,22787.0,6.33,1.415,12.2,,Decoder
u4yj8ymw,google-gemma-2-2b,finished,2024-11-12T06:16:54Z,on-prem,unicorn,Linux-5.4.0-196-generic-x86_64-with-glibc2.31,NVIDIA RTX A5000,1,Ampere,24.0,8192,230.0,226.1,97.4,73.4,83.1,16,32,62.8,69372.0,19.27,4.357,12.2,,Decoder
b3s0wpw8,yentinglin-bert-base-zhtw-EvalLoss,finished,2024-11-12T10:48:51Z,cloud,5b4ab5f9caaf,Linux-6.8.0-45-generic-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4090,1,Ada,24.0,16384,450.0,329.4,92.1,64.7,64.1,16,32,124.9,3021.0,0.84,0.276,12.4,,Encoder
8nz1gbzk,ckiplab-bert-base-chinese,finished,2024-11-12T11:42:30Z,cloud,5b4ab5f9caaf,Linux-6.8.0-45-generic-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4090,1,Ada,24.0,16384,450.0,222.0,55.4,38.9,54.6,16,32,124.9,3022.0,0.84,0.186,12.4,,Encoder
grfpnz4w,google-bert-bert-base-chinese,finished,2024-11-12T12:56:24Z,cloud,5b4ab5f9caaf,Linux-6.8.0-45-generic-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4090,1,Ada,24.0,16384,450.0,331.5,92.8,65.3,64.3,16,32,124.9,3013.0,0.84,0.277,12.4,,Encoder
h15lkjel,IDEA-CCNL-Erlangshen-DeBERTa-v2-97M-Chinese,finished,2024-11-12T13:47:27Z,cloud,5b4ab5f9caaf,Linux-6.8.0-45-generic-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4090,1,Ada,24.0,16384,450.0,300.8,96.7,80.5,62.2,16,32,124.9,7994.0,2.22,0.668,12.4,,Encoder
kdru8qmq,MoritzLaurer-mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,finished,2024-11-12T16:01:38Z,cloud,5b4ab5f9caaf,Linux-6.8.0-45-generic-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4090,1,Ada,24.0,16384,450.0,299.9,95.9,77.7,62.0,16,32,124.9,6374.0,1.77,0.531,12.4,,Encoder
o3byl5sd,microsoft-mdeberta-v3-base,finished,2024-11-12T17:48:52Z,cloud,5b4ab5f9caaf,Linux-6.8.0-45-generic-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4090,1,Ada,24.0,16384,450.0,300.5,95.5,77.5,61.9,16,32,124.9,6284.0,1.75,0.525,12.4,,Encoder
jmpfstho,microsoft-deberta-v3-small,finished,2024-11-12T19:34:34Z,cloud,5b4ab5f9caaf,Linux-6.8.0-45-generic-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4090,1,Ada,24.0,16384,450.0,294.4,93.4,82.0,61.6,16,32,124.9,4323.0,1.2,0.354,12.4,,Encoder
vke02wqx,microsoft-deberta-v3-base,finished,2024-11-12T20:47:31Z,cloud,5b4ab5f9caaf,Linux-6.8.0-45-generic-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4090,1,Ada,24.0,16384,450.0,300.9,96.1,80.6,61.7,16,32,124.9,7751.0,2.15,0.648,12.4,,Encoder
hssjwqz3,microsoft-deberta-v3-large,finished,2024-11-12T22:57:42Z,cloud,5b4ab5f9caaf,Linux-6.8.0-45-generic-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4090,1,Ada,24.0,16384,450.0,308.2,96.4,72.3,62.2,16,32,124.9,18351.0,5.1,1.571,12.4,,Encoder
5yo8siis,MoritzLaurer-mDeBERTa-v3-base-mnli-xnli,finished,2024-11-13T01:45:52Z,on-prem,unicorn,Linux-5.4.0-196-generic-x86_64-with-glibc2.31,NVIDIA RTX A5000,1,Ampere,24.0,8192,230.0,224.7,96.8,75.1,83.9,16,32,62.8,11035.0,3.07,0.689,12.2,,Encoder
tavl837j,meta-llama-Llama-3.2-3B,finished,2024-11-13T17:38:12Z,cloud,ff1806cc66ce,Linux-6.5.0-28-generic-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4090,1,Ada,24.0,16384,450.0,335.8,93.9,55.8,58.6,32,64,503.5,46096.0,12.8,4.3,12.4,,Decoder
